person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
64,24796,OWN,16.6,VENTURE,D,2062,19.69,1,0.08,N,28
40,34632,MORTGAGE,5.8,EDUCATION,B,4886,21.86,1,0.14,N,5
33,35428,RENT,2.5,VENTURE,A,19061,17.22,0,0.54,N,8
48,35049,RENT,6.0,HOMEIMPROVEMENT,C,33746,17.98,1,0.96,N,11
28,28289,OWN,0.1,DEBTCONSOLIDATION,D,17531,23.77,1,0.62,N,28
33,57070,OWN,0.8,MEDICAL,C,763,19.6,1,0.01,N,11
25,37834,OWN,8.9,HOMEIMPROVEMENT,B,23986,14.59,0,0.63,N,30
21,45313,OWN,5.2,HOMEIMPROVEMENT,A,37010,12.42,1,0.82,N,14
57,14905,OWN,2.3,EDUCATION,E,7146,11.14,1,0.48,N,14
21,10729,OWN,3.5,EDUCATION,B,32403,12.69,0,1.5,N,19
42,53068,RENT,11.8,MEDICAL,A,11648,12.45,1,0.22,N,11
20,58971,RENT,5.0,PERSONAL,D,26637,16.4,1,0.45,N,21
49,13886,MORTGAGE,2.5,EDUCATION,F,38468,25.0,1,1.5,N,27
20,12375,RENT,0.6,MEDICAL,C,26512,8.22,1,1.5,N,29
44,75448,RENT,1.7,PERSONAL,C,15723,20.9,1,0.21,N,2
46,22152,OWN,19.2,PERSONAL,B,18889,18.83,1,0.85,N,8
49,18744,MORTGAGE,2.9,MEDICAL,A,14853,20.02,1,0.79,Y,11
67,12309,RENT,3.2,VENTURE,A,25983,9.47,0,1.5,N,1
68,12444,RENT,3.5,HOMEIMPROVEMENT,C,33397,8.53,1,1.5,N,5
36,123300,MORTGAGE,10.8,MEDICAL,A,20602,17.17,0,0.17,N,23
38,29721,MORTGAGE,4.6,MEDICAL,E,17698,20.77,0,0.6,N,26
22,25722,OWN,5.9,EDUCATION,A,29038,16.25,1,1.13,N,21
35,11479,RENT,2.5,PERSONAL,C,6349,24.93,1,0.55,Y,15
45,6038,RENT,0.1,PERSONAL,C,28457,8.89,1,1.5,N,19
59,98478,OWN,13.4,HOMEIMPROVEMENT,C,514,13.22,1,0.01,Y,29
39,66394,MORTGAGE,14.9,MEDICAL,B,14307,7.85,1,0.22,N,16
38,36973,MORTGAGE,14.9,HOMEIMPROVEMENT,E,10729,25.0,1,0.29,Y,4
23,26573,RENT,14.4,VENTURE,B,3988,5.0,1,0.15,N,12
18,35941,RENT,8.4,PERSONAL,D,25782,9.7,1,0.72,N,25
22,35082,RENT,5.8,MEDICAL,C,33970,9.96,1,0.97,N,5
58,81190,MORTGAGE,9.3,EDUCATION,A,7075,17.43,0,0.09,N,19
29,43789,OWN,4.6,EDUCATION,C,14772,17.57,1,0.34,N,11
43,21726,RENT,0.7,MEDICAL,C,23044,12.77,1,1.06,N,7
63,17212,RENT,2.5,DEBTCONSOLIDATION,E,14868,12.17,1,0.86,N,6
51,32449,OWN,17.8,HOMEIMPROVEMENT,E,39760,15.43,1,1.23,N,30
66,27290,RENT,2.2,DEBTCONSOLIDATION,A,5999,16.87,1,0.22,Y,28
31,42260,MORTGAGE,10.1,PERSONAL,A,19439,9.64,1,0.46,N,13
43,5000,OWN,0.5,PERSONAL,B,29817,13.25,1,1.5,N,15
62,36318,RENT,2.0,PERSONAL,F,11678,23.17,1,0.32,N,3
44,14310,RENT,2.2,EDUCATION,A,4439,20.26,1,0.31,N,26
26,20045,MORTGAGE,0.3,EDUCATION,C,31101,10.0,0,1.5,Y,3
43,29541,RENT,0.6,VENTURE,C,25560,13.96,1,0.87,Y,29
64,89410,RENT,1.1,MEDICAL,C,16206,11.21,1,0.18,N,4
39,46669,MORTGAGE,9.1,DEBTCONSOLIDATION,A,4174,11.32,1,0.09,N,10
64,29020,MORTGAGE,0.3,DEBTCONSOLIDATION,A,27787,15.93,1,0.96,N,19
47,9444,MORTGAGE,1.8,PERSONAL,B,34921,13.64,0,1.5,N,6
60,31778,RENT,0.1,DEBTCONSOLIDATION,A,9654,18.69,0,0.3,N,1
65,14005,RENT,5.9,MEDICAL,A,23565,13.07,1,1.5,N,1
34,65673,RENT,4.8,MEDICAL,A,26906,9.72,1,0.41,N,7
43,30870,RENT,5.2,HOMEIMPROVEMENT,C,12534,20.65,1,0.41,N,16
53,12129,OWN,2.3,PERSONAL,B,29977,12.63,1,1.5,N,24
18,29372,RENT,1.2,DEBTCONSOLIDATION,B,30237,14.31,1,1.03,N,4
25,63831,OWN,6.4,VENTURE,B,1315,23.89,1,0.02,N,16
66,62124,RENT,8.3,DEBTCONSOLIDATION,A,30796,17.73,0,0.5,N,7
52,27163,RENT,0.7,DEBTCONSOLIDATION,B,17438,21.1,0,0.64,N,18
69,54053,MORTGAGE,3.3,MEDICAL,A,36060,13.86,0,0.67,N,25
32,38271,RENT,1.4,PERSONAL,C,22749,11.96,0,0.59,N,15
64,24636,RENT,0.9,PERSONAL,A,39486,21.83,1,1.5,N,9
39,6329,RENT,6.6,EDUCATION,E,29996,13.88,1,1.5,N,11
31,51507,RENT,3.9,PERSONAL,A,13960,19.46,1,0.27,N,7
43,16751,RENT,1.2,HOMEIMPROVEMENT,E,12754,25.0,1,0.76,N,21
45,37340,RENT,1.9,EDUCATION,D,12457,23.35,1,0.33,N,7
40,5847,OWN,17.0,DEBTCONSOLIDATION,C,37570,7.28,1,1.5,N,23
31,35278,MORTGAGE,9.4,VENTURE,E,8352,25.0,1,0.24,Y,3
41,29377,RENT,10.6,PERSONAL,A,1764,15.28,1,0.06,N,7
19,45716,RENT,3.1,MEDICAL,A,23703,15.62,0,0.52,N,3
62,25724,OWN,4.9,MEDICAL,B,10864,19.73,1,0.42,Y,12
43,33976,RENT,2.4,MEDICAL,A,19188,11.81,1,0.56,N,3
31,62524,OWN,0.4,MEDICAL,B,28239,9.34,0,0.45,Y,7
68,115538,OWN,2.6,PERSONAL,C,37226,16.5,1,0.32,N,23
24,133691,RENT,4.5,VENTURE,A,16066,5.0,0,0.12,N,6
20,149323,MORTGAGE,1.7,MEDICAL,B,38804,17.5,1,0.26,N,15
64,32297,MORTGAGE,9.4,HOMEIMPROVEMENT,A,29459,11.66,1,0.91,Y,23
40,37366,MORTGAGE,0.8,HOMEIMPROVEMENT,C,26314,15.05,1,0.7,N,26
63,112235,RENT,2.3,EDUCATION,F,16557,14.72,0,0.15,N,10
60,78811,OWN,0.7,PERSONAL,C,15473,5.83,1,0.2,Y,5
64,19933,MORTGAGE,2.6,VENTURE,B,18701,16.23,1,0.94,Y,9
62,15832,RENT,0.2,DEBTCONSOLIDATION,B,38588,17.18,0,1.5,N,17
35,5000,MORTGAGE,1.6,EDUCATION,D,24632,16.97,0,1.5,N,21
55,43378,RENT,2.6,EDUCATION,A,29817,17.31,0,0.69,Y,30
52,82516,RENT,3.3,PERSONAL,F,19695,22.27,1,0.24,N,29
68,17317,OWN,3.9,EDUCATION,B,24238,20.96,0,1.4,N,19
32,17964,OWN,1.6,EDUCATION,B,20438,9.76,1,1.14,N,30
42,51054,OWN,3.7,EDUCATION,F,2918,15.86,1,0.06,N,24
54,68751,MORTGAGE,3.6,VENTURE,E,38408,14.22,1,0.56,Y,23
45,38734,RENT,1.9,EDUCATION,C,3488,5.61,1,0.09,N,28
27,17356,RENT,8.9,PERSONAL,A,34122,20.01,1,1.5,N,17
56,27564,MORTGAGE,3.9,EDUCATION,D,36118,25.0,0,1.31,N,9
34,24432,RENT,2.0,DEBTCONSOLIDATION,B,3879,20.33,1,0.16,N,29
56,49521,OWN,14.7,MEDICAL,B,31265,12.25,0,0.63,N,21
39,17470,RENT,9.3,DEBTCONSOLIDATION,A,693,9.08,1,0.04,N,17
43,10398,RENT,20.3,MEDICAL,C,26653,20.49,1,1.5,Y,1
61,5000,RENT,5.9,EDUCATION,D,29504,17.2,0,1.5,Y,8
42,20183,RENT,2.4,PERSONAL,B,25822,22.79,1,1.28,N,19
34,63954,MORTGAGE,1.6,VENTURE,E,11779,14.59,0,0.18,N,9
30,15076,OWN,5.4,MEDICAL,A,22516,8.48,1,1.49,N,8
37,6976,OWN,19.8,VENTURE,A,15579,21.98,1,1.5,N,6
42,10700,RENT,4.9,HOMEIMPROVEMENT,C,25225,24.56,0,1.5,N,15
21,13512,RENT,10.7,VENTURE,D,8483,24.7,1,0.63,N,15
27,20370,RENT,2.0,PERSONAL,F,22637,19.09,1,1.11,N,6
20,9537,RENT,2.6,HOMEIMPROVEMENT,D,12557,23.75,0,1.32,Y,21
58,57764,RENT,11.8,MEDICAL,A,21781,7.67,1,0.38,N,15
62,12096,RENT,7.1,EDUCATION,F,22216,16.1,0,1.5,N,18
35,40572,RENT,19.9,MEDICAL,E,7034,19.93,1,0.17,N,22
64,19934,RENT,7.5,VENTURE,A,39058,19.21,1,1.5,N,24
53,16258,RENT,3.0,PERSONAL,C,27465,6.95,1,1.5,N,6
64,54270,OWN,3.8,EDUCATION,C,17557,16.31,0,0.32,Y,23
39,29870,RENT,11.5,EDUCATION,B,36969,16.19,0,1.24,N,18
51,75134,RENT,4.0,EDUCATION,F,18244,22.6,1,0.24,N,18
64,20741,MORTGAGE,1.5,PERSONAL,A,11758,6.37,1,0.57,N,30
25,11969,RENT,2.9,PERSONAL,C,12309,6.28,0,1.03,Y,19
57,24406,MORTGAGE,3.6,PERSONAL,A,3567,19.9,1,0.15,N,26
66,18669,RENT,0.5,EDUCATION,C,27238,16.49,1,1.46,Y,28
61,96652,MORTGAGE,6.8,DEBTCONSOLIDATION,D,34712,22.36,1,0.36,N,23
36,18010,RENT,0.6,EDUCATION,A,12717,9.29,0,0.71,N,24
59,41504,OWN,2.6,EDUCATION,B,22371,5.0,1,0.54,N,20
58,31627,RENT,8.2,EDUCATION,F,5679,16.19,1,0.18,N,27
54,11748,OWN,3.2,HOMEIMPROVEMENT,D,3853,8.47,1,0.33,N,26
23,15186,RENT,9.2,PERSONAL,C,23665,6.56,1,1.5,Y,13
69,36028,RENT,2.1,PERSONAL,A,22944,6.29,0,0.64,N,11
43,36136,OWN,15.8,EDUCATION,B,6419,16.67,1,0.18,N,30
51,24110,RENT,1.2,DEBTCONSOLIDATION,D,16056,23.36,1,0.67,N,15
62,29158,MORTGAGE,0.2,MEDICAL,D,13511,23.43,0,0.46,Y,30
23,5716,RENT,10.3,PERSONAL,A,18654,20.76,1,1.5,N,6
54,14832,RENT,7.0,EDUCATION,C,22794,18.13,0,1.5,N,25
50,63854,OWN,1.3,PERSONAL,A,13236,5.0,1,0.21,N,23
70,20319,RENT,20.9,PERSONAL,A,17078,9.55,1,0.84,N,11
39,63650,RENT,3.5,HOMEIMPROVEMENT,C,14496,7.23,1,0.23,N,4
38,70423,OWN,15.1,MEDICAL,A,25650,17.55,1,0.36,Y,15
23,69883,OWN,3.5,VENTURE,A,27705,5.0,1,0.4,N,16
23,94273,MORTGAGE,3.2,EDUCATION,D,22798,9.12,1,0.24,N,24
65,45463,RENT,3.0,MEDICAL,B,31056,5.0,0,0.68,N,14
21,91856,RENT,2.0,EDUCATION,D,37911,25.0,1,0.41,N,24
47,60862,RENT,3.8,EDUCATION,C,25464,20.71,1,0.42,Y,23
28,5082,RENT,3.0,VENTURE,D,14246,13.67,1,1.5,N,5
47,42426,OWN,0.2,PERSONAL,B,35020,11.53,1,0.83,N,15
48,133544,RENT,1.5,VENTURE,B,33928,5.19,0,0.25,Y,26
41,5000,RENT,1.2,DEBTCONSOLIDATION,C,22499,8.16,1,1.5,N,30
26,31239,RENT,10.1,PERSONAL,A,36100,8.23,0,1.16,Y,28
20,11536,OWN,4.6,DEBTCONSOLIDATION,D,30861,14.76,1,1.5,N,10
68,15927,MORTGAGE,7.2,PERSONAL,C,8988,17.4,1,0.56,N,6
48,20062,OWN,15.7,EDUCATION,A,38881,9.01,1,1.5,N,16
57,42233,RENT,5.2,VENTURE,C,23854,24.09,1,0.56,N,16
54,23825,OWN,20.3,MEDICAL,E,17214,15.86,1,0.72,N,26
53,41231,OWN,1.9,PERSONAL,A,7277,20.83,0,0.18,N,19
41,108056,RENT,1.0,HOMEIMPROVEMENT,A,12541,16.6,1,0.12,Y,3
48,65667,RENT,2.6,DEBTCONSOLIDATION,D,13642,25.0,1,0.21,N,20
23,35892,RENT,3.2,PERSONAL,A,26360,16.06,0,0.73,N,18
19,25649,RENT,11.3,DEBTCONSOLIDATION,A,9770,13.37,1,0.38,N,22
37,44645,MORTGAGE,4.1,MEDICAL,B,38669,14.18,1,0.87,N,19
45,5049,RENT,1.7,DEBTCONSOLIDATION,B,4366,9.83,1,0.86,N,28
28,22010,RENT,6.8,PERSONAL,C,13529,10.96,1,0.61,N,30
21,45985,MORTGAGE,3.5,HOMEIMPROVEMENT,C,39381,9.46,0,0.86,N,2
32,35409,MORTGAGE,0.9,PERSONAL,E,34853,16.71,0,0.98,Y,9
23,68622,OWN,4.3,DEBTCONSOLIDATION,D,3440,9.54,1,0.05,N,1
66,61950,RENT,12.1,VENTURE,F,14605,18.75,0,0.24,N,4
47,43556,RENT,9.2,EDUCATION,B,29562,20.67,1,0.68,N,25
55,23905,RENT,4.4,PERSONAL,A,29544,19.41,1,1.24,N,21
68,19808,RENT,2.4,HOMEIMPROVEMENT,F,23289,23.86,1,1.18,N,30
19,71514,RENT,0.5,VENTURE,A,13718,7.14,1,0.19,N,22
32,43821,OWN,3.2,EDUCATION,D,18386,11.81,0,0.42,N,28
28,15036,RENT,7.0,EDUCATION,A,17629,7.56,0,1.17,N,4
25,64247,RENT,2.2,HOMEIMPROVEMENT,D,35880,17.0,0,0.56,N,26
43,42323,RENT,1.3,EDUCATION,E,2008,25.0,1,0.05,N,6
68,29262,OWN,13.4,PERSONAL,B,2270,6.18,1,0.08,N,29
62,57182,OWN,8.6,DEBTCONSOLIDATION,A,12471,12.01,1,0.22,N,23
61,48355,OWN,5.1,EDUCATION,A,35229,15.64,1,0.73,N,6
22,80834,RENT,0.7,EDUCATION,B,10287,8.91,0,0.13,N,28
23,80400,RENT,0.8,EDUCATION,A,4158,21.38,1,0.05,N,22
43,21215,RENT,0.5,DEBTCONSOLIDATION,C,23861,11.98,1,1.12,N,19
21,31517,RENT,4.8,EDUCATION,B,23493,22.65,1,0.75,N,8
36,24601,MORTGAGE,0.6,VENTURE,B,965,15.95,1,0.04,Y,8
37,107456,MORTGAGE,9.2,DEBTCONSOLIDATION,B,18953,5.0,0,0.18,N,20
50,57676,OWN,24.8,PERSONAL,C,26308,11.22,1,0.46,N,24
37,31904,MORTGAGE,2.3,HOMEIMPROVEMENT,A,14374,5.0,1,0.45,N,13
66,17526,OWN,3.0,EDUCATION,D,23447,14.63,1,1.34,N,30
29,34471,RENT,6.2,VENTURE,E,19932,25.0,0,0.58,Y,28
64,5000,MORTGAGE,13.8,EDUCATION,B,4542,19.58,0,1.5,N,9
18,25408,RENT,11.2,VENTURE,A,21023,14.4,1,0.83,N,21
43,13730,OWN,0.3,EDUCATION,D,4702,17.77,1,0.34,N,19
31,63200,RENT,0.9,PERSONAL,A,39392,9.45,0,0.62,Y,7
55,25691,RENT,7.0,DEBTCONSOLIDATION,A,8273,6.23,0,0.32,Y,29
54,36222,OWN,5.8,PERSONAL,C,18171,6.25,1,0.5,N,20
28,30181,RENT,0.7,HOMEIMPROVEMENT,A,8801,5.8,1,0.29,N,8
53,65066,RENT,3.5,PERSONAL,A,29921,9.03,0,0.46,Y,27
30,66221,RENT,7.6,EDUCATION,F,15074,21.4,0,0.23,N,11
60,48952,RENT,1.2,HOMEIMPROVEMENT,B,33129,8.09,0,0.68,N,3
20,42021,MORTGAGE,10.3,EDUCATION,E,29499,25.0,1,0.7,N,17
50,6929,OWN,0.3,DEBTCONSOLIDATION,A,34129,5.0,1,1.5,N,5
23,28142,RENT,7.6,MEDICAL,D,30608,8.9,1,1.09,N,6
67,73979,RENT,4.8,EDUCATION,C,9152,18.65,0,0.12,N,28
27,38781,MORTGAGE,1.9,VENTURE,A,17988,17.1,0,0.46,N,15
22,25752,RENT,6.4,EDUCATION,D,38642,25.0,0,1.5,N,9
40,22180,RENT,7.6,EDUCATION,E,17627,19.61,1,0.79,N,19
27,22302,RENT,13.6,VENTURE,A,19294,5.32,1,0.87,N,6
61,35866,MORTGAGE,2.3,EDUCATION,D,28868,25.0,0,0.8,N,8
19,20240,RENT,5.8,EDUCATION,B,5493,23.6,1,0.27,Y,12
30,70338,RENT,4.6,HOMEIMPROVEMENT,D,9134,25.0,1,0.13,N,26
57,5817,RENT,3.7,HOMEIMPROVEMENT,D,2333,24.43,1,0.4,Y,16
19,56582,RENT,11.1,MEDICAL,A,34153,5.0,1,0.6,N,20
37,84054,OWN,0.0,MEDICAL,A,15819,19.1,0,0.19,N,26
18,12807,RENT,1.7,VENTURE,B,4104,23.06,0,0.32,N,26
54,52388,RENT,3.9,MEDICAL,E,5857,20.05,0,0.11,N,22
26,44235,RENT,1.0,EDUCATION,B,16757,19.45,0,0.38,N,3
34,16573,RENT,11.9,DEBTCONSOLIDATION,C,29432,18.22,1,1.5,N,16
26,11630,MORTGAGE,5.2,PERSONAL,A,20105,7.76,1,1.5,N,26
28,46863,MORTGAGE,3.2,MEDICAL,D,2096,18.75,1,0.04,Y,25
32,108523,RENT,8.4,DEBTCONSOLIDATION,C,31233,22.79,1,0.29,Y,15
41,76840,RENT,3.0,VENTURE,D,10257,16.93,1,0.13,N,11
55,52659,RENT,4.1,DEBTCONSOLIDATION,E,9642,20.8,1,0.18,N,6
52,46351,OWN,0.0,EDUCATION,A,11606,12.63,1,0.25,N,2
47,38753,OWN,2.3,EDUCATION,B,19376,9.65,0,0.5,Y,23
48,31286,RENT,0.7,DEBTCONSOLIDATION,F,26417,23.87,1,0.84,N,29
66,48659,OWN,5.9,EDUCATION,A,32018,12.19,0,0.66,Y,7
22,16360,OWN,3.3,VENTURE,D,4833,11.65,1,0.3,N,30
61,60986,MORTGAGE,1.8,PERSONAL,D,33806,24.91,1,0.55,N,30
67,33031,RENT,3.2,HOMEIMPROVEMENT,C,36124,24.0,1,1.09,N,16
31,33433,RENT,1.2,MEDICAL,A,28801,5.0,0,0.86,N,1
70,95209,RENT,13.0,EDUCATION,A,38821,14.45,1,0.41,N,13
28,10514,MORTGAGE,0.3,MEDICAL,C,16157,13.3,1,1.5,N,4
26,53993,OWN,10.0,VENTURE,A,10426,12.52,1,0.19,N,1
51,87363,OWN,3.6,PERSONAL,C,29467,12.48,0,0.34,N,22
29,49286,RENT,4.8,VENTURE,B,513,13.49,1,0.01,N,5
52,39606,RENT,1.8,MEDICAL,B,5207,10.47,0,0.13,N,29
52,32191,RENT,17.0,EDUCATION,B,37758,6.35,1,1.17,N,30
18,61162,OWN,1.7,HOMEIMPROVEMENT,E,25266,15.04,1,0.41,N,16
57,47888,RENT,4.4,EDUCATION,C,6493,18.41,0,0.14,N,19
39,26297,RENT,25.1,EDUCATION,C,32664,6.01,0,1.24,N,12
46,32078,OWN,10.6,MEDICAL,E,31325,16.65,0,0.98,N,9
25,47623,RENT,3.8,VENTURE,C,32637,5.85,1,0.69,N,25
28,14656,RENT,23.2,DEBTCONSOLIDATION,F,4602,18.13,1,0.31,N,6
58,20289,RENT,6.0,PERSONAL,A,1604,5.0,0,0.08,N,22
54,82155,MORTGAGE,1.2,EDUCATION,D,36080,13.79,1,0.44,N,9
31,24999,OWN,2.6,PERSONAL,B,39399,20.76,0,1.5,N,2
47,11666,MORTGAGE,2.0,HOMEIMPROVEMENT,D,39896,19.27,0,1.5,Y,1
52,49365,RENT,2.1,EDUCATION,E,26456,22.65,1,0.54,Y,10
38,81594,MORTGAGE,7.1,VENTURE,B,32151,14.08,1,0.39,N,3
54,10222,MORTGAGE,4.4,EDUCATION,B,17685,22.45,1,1.5,N,24
22,67788,OWN,0.2,HOMEIMPROVEMENT,D,6928,17.82,0,0.1,N,18
36,87373,MORTGAGE,10.5,MEDICAL,A,16141,5.0,1,0.18,N,24
31,65280,RENT,1.8,DEBTCONSOLIDATION,D,10813,25.0,0,0.17,N,12
43,30559,RENT,29.2,PERSONAL,A,4640,5.0,1,0.15,N,15
21,70161,RENT,15.4,MEDICAL,E,18436,25.0,1,0.26,N,14
42,74903,OWN,14.1,HOMEIMPROVEMENT,B,3292,12.71,0,0.04,N,10
62,12355,OWN,8.3,VENTURE,C,3223,6.47,0,0.26,N,6
59,58335,OWN,1.2,PERSONAL,A,22460,19.28,1,0.39,N,20
42,36723,RENT,3.8,DEBTCONSOLIDATION,B,2522,5.86,1,0.07,N,20
35,35629,RENT,1.3,EDUCATION,B,37456,7.49,1,1.05,N,12
57,5707,RENT,1.5,EDUCATION,B,31541,12.35,0,1.5,N,28
25,5000,OWN,4.7,MEDICAL,A,27589,15.52,0,1.5,Y,23
56,36864,RENT,0.2,MEDICAL,E,1103,11.42,0,0.03,N,23
57,30458,MORTGAGE,17.4,HOMEIMPROVEMENT,A,7528,14.45,0,0.25,N,9
31,30149,RENT,12.5,EDUCATION,D,7650,22.61,1,0.25,N,30
49,27564,RENT,2.4,EDUCATION,B,25402,6.47,1,0.92,N,4
68,14197,MORTGAGE,3.6,MEDICAL,C,22846,17.95,1,1.5,N,29
55,61333,RENT,3.1,EDUCATION,A,16442,21.18,0,0.27,N,27
50,86530,RENT,10.7,DEBTCONSOLIDATION,C,3275,24.35,0,0.04,N,29
40,8405,RENT,5.8,DEBTCONSOLIDATION,C,31018,8.23,1,1.5,N,25
32,54843,RENT,1.6,MEDICAL,A,4139,17.19,1,0.08,N,4
50,10754,MORTGAGE,3.0,PERSONAL,A,25666,18.93,1,1.5,Y,2
42,27415,OWN,2.8,DEBTCONSOLIDATION,A,1350,19.78,1,0.05,N,30
34,45851,RENT,16.0,PERSONAL,A,8300,8.47,1,0.18,N,7
50,18567,OWN,1.0,EDUCATION,A,7075,7.4,1,0.38,N,25
64,15954,RENT,0.5,PERSONAL,A,29499,5.0,1,1.5,Y,11
19,33486,OWN,10.6,PERSONAL,C,19792,12.99,0,0.59,N,16
31,60783,MORTGAGE,11.3,HOMEIMPROVEMENT,B,30749,6.48,1,0.51,N,10
70,21889,MORTGAGE,10.3,MEDICAL,B,22077,19.73,1,1.01,N,15
57,15861,RENT,3.6,DEBTCONSOLIDATION,A,18428,5.0,1,1.16,N,2
57,23036,RENT,5.4,EDUCATION,C,30738,21.38,1,1.33,Y,12
68,73383,RENT,4.1,MEDICAL,B,32501,6.15,0,0.44,N,27
56,34063,OWN,0.4,DEBTCONSOLIDATION,C,18699,14.61,1,0.55,N,22
68,36097,RENT,4.5,HOMEIMPROVEMENT,D,35544,14.69,1,0.98,N,22
23,25330,RENT,0.1,VENTURE,C,1950,17.03,1,0.08,Y,15
23,29083,MORTGAGE,2.0,PERSONAL,B,32953,14.38,0,1.13,N,11
20,55794,RENT,13.5,HOMEIMPROVEMENT,C,27123,16.97,1,0.49,N,10
24,36988,RENT,1.8,EDUCATION,B,29915,5.0,1,0.81,Y,3
68,103436,RENT,14.1,MEDICAL,E,36812,11.55,1,0.36,N,8
25,22795,RENT,1.4,VENTURE,D,38174,17.34,0,1.5,N,21
59,82414,RENT,1.9,VENTURE,B,6348,8.59,1,0.08,N,20
69,8902,RENT,4.9,VENTURE,F,25249,12.53,1,1.5,N,20
32,37159,RENT,7.2,VENTURE,C,9790,9.35,1,0.26,N,5
64,33592,RENT,3.5,PERSONAL,B,18006,19.6,0,0.54,N,29
46,82921,OWN,10.7,MEDICAL,A,11252,12.83,0,0.14,N,27
50,25841,RENT,0.2,VENTURE,C,27118,8.8,1,1.05,N,26
69,100919,OWN,12.8,EDUCATION,E,7784,9.32,0,0.08,Y,11
47,7891,RENT,1.1,EDUCATION,E,22236,16.15,1,1.5,N,29
56,17758,RENT,10.8,PERSONAL,C,19060,12.15,0,1.07,N,28
44,18857,MORTGAGE,2.6,EDUCATION,B,11113,18.7,1,0.59,N,12
53,10313,RENT,8.9,DEBTCONSOLIDATION,C,16434,23.39,1,1.5,Y,20
46,33916,RENT,5.6,EDUCATION,D,29407,14.44,0,0.87,Y,11
55,26934,MORTGAGE,1.0,MEDICAL,B,14655,17.76,0,0.54,N,6
50,67897,OWN,12.5,VENTURE,B,5337,16.7,1,0.08,N,8
54,11315,RENT,1.4,PERSONAL,C,39601,13.44,1,1.5,Y,13
44,133264,RENT,1.4,DEBTCONSOLIDATION,E,28848,10.32,0,0.22,N,15
50,96913,OWN,8.4,EDUCATION,D,17174,16.47,1,0.18,N,2
21,20364,MORTGAGE,0.6,DEBTCONSOLIDATION,A,24392,9.08,1,1.2,N,30
39,53858,RENT,1.3,PERSONAL,A,6093,13.0,0,0.11,Y,23
19,20625,RENT,3.5,PERSONAL,E,9259,11.51,0,0.45,N,27
27,52735,RENT,8.9,EDUCATION,D,22522,21.48,1,0.43,N,6
22,9593,RENT,0.8,EDUCATION,B,22054,19.76,1,1.5,N,20
27,51353,RENT,4.0,HOMEIMPROVEMENT,C,19922,12.77,0,0.39,N,30
50,24134,RENT,6.2,PERSONAL,E,32794,12.51,1,1.36,N,29
55,8192,RENT,9.9,VENTURE,E,35571,21.47,0,1.5,N,2
30,31828,RENT,13.7,PERSONAL,D,17192,25.0,1,0.54,N,15
48,33149,MORTGAGE,7.7,HOMEIMPROVEMENT,A,19080,16.01,1,0.58,N,1
64,38148,RENT,5.3,HOMEIMPROVEMENT,D,32273,9.47,1,0.85,N,11
53,101932,RENT,2.8,MEDICAL,A,961,9.94,1,0.01,N,8
62,24228,RENT,0.6,EDUCATION,E,5232,25.0,1,0.22,N,24
41,29344,MORTGAGE,6.2,VENTURE,A,17529,14.69,1,0.6,N,9
69,8950,OWN,24.6,PERSONAL,C,22898,7.94,0,1.5,N,15
32,43738,OWN,6.7,PERSONAL,C,10088,19.49,1,0.23,N,5
46,30001,RENT,0.1,VENTURE,D,28950,14.07,0,0.96,N,9
25,12568,MORTGAGE,3.4,DEBTCONSOLIDATION,C,33139,14.79,1,1.5,N,4
22,36653,RENT,4.8,DEBTCONSOLIDATION,A,10262,10.3,1,0.28,N,27
46,14918,RENT,5.9,MEDICAL,D,18789,21.51,1,1.26,N,10
64,122706,OWN,6.4,MEDICAL,B,8540,8.36,0,0.07,N,4
21,25659,MORTGAGE,4.1,DEBTCONSOLIDATION,B,12859,11.77,0,0.5,N,5
29,11477,OWN,1.3,MEDICAL,F,38166,25.0,1,1.5,N,19
62,49937,MORTGAGE,14.3,EDUCATION,C,3704,19.1,0,0.07,N,21
19,10534,MORTGAGE,6.0,DEBTCONSOLIDATION,D,34397,11.03,0,1.5,N,13
44,64673,RENT,1.4,EDUCATION,C,31576,12.01,1,0.49,N,21
48,10259,RENT,1.9,PERSONAL,D,18681,7.29,0,1.5,N,11
68,56016,RENT,12.8,VENTURE,D,19368,17.6,1,0.35,N,12
68,67733,MORTGAGE,10.9,PERSONAL,C,23107,10.62,1,0.34,N,14
53,92212,RENT,2.6,EDUCATION,F,24607,11.24,0,0.27,N,13
53,16835,MORTGAGE,0.2,EDUCATION,B,17572,12.49,1,1.04,N,26
43,62293,RENT,0.2,MEDICAL,D,28539,25.0,1,0.46,N,4
60,71859,RENT,1.7,DEBTCONSOLIDATION,D,23315,25.0,1,0.32,N,13
44,19169,RENT,5.0,EDUCATION,B,28086,11.44,1,1.47,N,27
22,6692,RENT,4.4,EDUCATION,B,28978,12.98,1,1.5,N,5
37,10102,MORTGAGE,5.0,PERSONAL,F,22885,15.85,0,1.5,N,21
28,10386,RENT,6.3,VENTURE,A,29397,5.0,0,1.5,N,9
27,26301,RENT,0.1,VENTURE,B,30528,17.88,1,1.16,N,1
57,40826,RENT,0.6,MEDICAL,B,30612,20.0,1,0.75,N,12
55,22333,RENT,2.2,EDUCATION,A,29716,19.6,1,1.33,N,23
